Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2025 Bowman's Best Leo De Vries Top Prospects Purple Lazer Refractor #/250,Active,08/22/2026 01:00:00 +00:00,08/27/2026 01:00:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/qtAAAeSwgW9qiMat/$_1.JPG?set_id=8800005007
2026 Topps Collector's Kit Exclusive Victor Wembanyama Wave Foil #NBA-7,Active,08/22/2026 00:58:20 +00:00,08/27/2026 00:58:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/acAAAeSwFLNqiMX1/$_1.JPG?set_id=8800005007
2026 Topps Jonah Tong RC Holo Foil Rookie #4 Mets,Active,08/22/2026 00:56:40 +00:00,08/27/2026 00:56:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/weMAAeSwGflqiMaj/$_1.JPG?set_id=8800005007
2025 Bowman's Best Spencer Schwellenbach RC Blue Refractor Rookie #/150 Braves,Active,08/22/2026 00:55:00 +00:00,08/27/2026 00:55:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/W-cAAeSw7BNqiMai/$_1.JPG?set_id=8800005007
2025 Bowman Draft Eli Willits In Action Mojo Refractor #BIA-1 Nationals,Active,08/22/2026 00:53:20 +00:00,08/27/2026 00:53:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/XvwAAeSwSUlqiMW4/$_1.JPG?set_id=8800005007
2025-26 Bowman Anthony Davis Orange Border #/25 Mavericks,Active,08/22/2026 00:51:40 +00:00,08/27/2026 00:51:40 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA5/z/eEIAAeSwIMRqiMaf/$_1.JPG?set_id=8800005007
2024-25 Panini Prizm Stephen Curry Silver #134 Warriors,Active,08/22/2026 00:50:00 +00:00,08/27/2026 00:50:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/vr8AAeSwiipqiMYp/$_1.JPG?set_id=8800005007
2026 Bowman Sapphire Shotaro Morii Chrome Prospects #BCP-48 Athletics,Active,08/22/2026 00:48:20 +00:00,08/27/2026 00:48:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA5/z/l3IAAeSwRvdqiMWu/$_1.JPG?set_id=8800005007
2025 Panini Phoenix Cam Ward RC Silver Pyramids Prizm Rookie #194 Titans,Active,08/22/2026 00:46:40 +00:00,08/27/2026 00:46:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/P8MAAeSwEQFqiMZe/$_1.JPG?set_id=8800005007
2025 Topps Chrome Sapphire Brian Thomas Jr. Gold Refractor #/50 Jaguars,Active,08/22/2026 00:45:00 +00:00,08/27/2026 00:45:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/bakAAeSwaGNqiMZc/$_1.JPG?set_id=8800005007
2025 Bowman's Best Corbin Carroll Performance Mini Diamond Refractor #BP-3,Active,08/22/2026 00:43:20 +00:00,08/27/2026 00:43:20 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/PDoAAeSwoAJqiMZa/$_1.JPG?set_id=8800005007
2025 Bowman's Best Mike Trout Performance #BP-22 Angels,Active,08/22/2026 00:41:40 +00:00,08/27/2026 00:41:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/cGsAAeSwy-ZqiMYc/$_1.JPG?set_id=8800005007
2025 Bowman's Best Jesus Made Performance #BP-20 Brewers,Active,08/22/2026 00:40:00 +00:00,08/27/2026 00:40:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/f4wAAeSwhq5qiMYY/$_1.JPG?set_id=8800005007
2025 Topps Finest Tyler Shough RC Green Refractor Rookie #/75 Saints,Active,08/22/2026 00:38:20 +00:00,08/27/2026 00:38:20 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTg5/z/ZZcAAeSwndxqiMYV/$_1.JPG?set_id=8800005007
2023-24 Topps Pristine Road To Euro 2024 Philip Billing Orange Refractor #/25,Active,08/22/2026 00:36:40 +00:00,08/27/2026 00:36:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjE2/z/PmwAAeSwJFFqiMZO/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Kel'el Ware Baseline Auto Autograph #BA-KW Heat,Active,08/22/2026 00:35:00 +00:00,08/27/2026 00:35:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/ce0AAeSw2HNqiMYQ/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Malik Monk Uncommon Purple X-Fractor #/99 Kings,Active,08/22/2026 00:33:20 +00:00,08/27/2026 00:33:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/jaMAAeSwMf5qiMZE/$_1.JPG?set_id=8800005007
2025-26 Topps Chrome Derik Queen Next Stop Signature RC Refractor Auto #NS-DQ,Active,08/22/2026 00:31:40 +00:00,08/27/2026 00:31:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/YiwAAeSwKVhqiMZI/$_1.JPG?set_id=8800005007
2025 Bowman Draft Riley Kelly Chrome Auto Aqua Lava Refractor 1st #/199 Rockies,Active,08/22/2026 00:30:00 +00:00,08/27/2026 00:30:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/M3QAAeSwpyFqiMYN/$_1.JPG?set_id=8800005007
2025 Pokemon Gem Pack Vol.2 Leafeon Reverse Holo #0710/15 CGC 10 GEM MINT,Active,08/21/2026 02:06:39 +00:00,08/26/2026 02:06:39 +00:00,False,$0.00,$0.00,$0.00,278923,https://i.ebayimg.com/00/s/MTYwMFg5ODk=/z/3jQAAeSwtPhqcjr7/$_1.JPG?set_id=8800005007
2025-26 Topps Now Cooper Flagg RC - Rookie #124 Mavericks PSA 10 GEM MINT,Paid,08/12/2026 01:54:00 +00:00,08/17/2026 01:54:00 +00:00,False,$90.00,$13.69,$76.31,281477,https://i.ebayimg.com/00/s/MTYwMFg5OTc=/z/D4kAAeSwFW1qezmu/$_1.JPG?set_id=8800005007
2024 Bowman Shohei Ohtani #33 Dodgers GAS 10 (B),Paid,08/12/2026 01:48:00 +00:00,08/17/2026 01:48:00 +00:00,False,$14.50,$4.60,$9.90,281477,https://i.ebayimg.com/00/s/MTYwMFgxMDAy/z/CZAAAeSwWQxqezmp/$_1.JPG?set_id=8800005007
