confidence,card,cond,qty,collx_ask,ebay_sold_for,ebay_date,location,collx_id,ebay_title
High,2025 Joel Embiid #149,RAW,1,6.0,$5.00,Jun-16-26,,999016441251425280,2025-26 Topps Chrome Joel Embiid #149 Magenta Refractor Philadelphia 76ers #/399
High,2025 Mason Peters #BDC-27,RAW,1,1.99,$1.75,May-09-26,,995957394122364928,2025 Bowman Draft Sapphire MASON PETERS #BDC-27 Chrome 1st Prospect Mariners
High,2024 Drake Maye #229,RAW,1,13.0,$4.99,Jul-04-26,,995883218854369280,DRAKE MAYE 2024 Donruss Optic #229 Patriots RC Rookie Football NFL
High,2024 Drake Maye #20,RAW,1,6.99,$2.25,Jul-03-26,,985978894892027904,DRAKE MAYE 2024 Panini Select #20 Patriots RC Rookie Football NFL
High,2024 Drake Maye #5,RAW,1,9.99,$4.59,Jul-05-26,,985978895043022848,2024 Panini Donruss Optic DRAKE MAYE #5 Rookie Recruits RC Patriots Football
High,2024 Drake Maye #5,RAW,1,7.99,$4.59,Jul-05-26,,985978895714111488,2024 Panini Donruss Optic DRAKE MAYE #5 Rookie Recruits RC Patriots Football
High,2025 Asa Newell #273,RAW,1,1.99,$2.75,Jun-26-26,,977938048305265664,2025-26 Topps Chrome Asa Newell #273 Negative Refractor Atlanta Hawks
High,2025 Joan Beringer #267,RAW,1,2.5,$3.00,Jul-09-26,,977938050142370816,2025-26 Topps Chrome JOAN BERINGER #267 Pulsar Refractor Minnesota Timberwolves
High,2025 David Festa #OD-89,Excellent,1,3.5,$3.50,May-13-26,,966930181174841344,2025 Topps Now Road to Opening Day Minnesota Twins David Festa #OD-89 Twins
High,2021 Wil Trapp #52,Excellent,1,2.49,$2.49,Jun-14-26,,960982886248440832,2021 Topps Chrome Sapphire Edition MLS Wil Trapp #52 Minnesota United FC
High,2025 Ace Bailey #RTS-5,Excellent,1,1.59,$1.00,May-12-26,,960541899516792832,2025-26 Topps Finest Ace Bailey #5 Common RC Jazz
High,2023 Miguel Vargas #694,RAW,1,2.84,$2.55,Jun-30-26,,953927961005804544,2023 Topps Heritage Miguel Vargas #694 Chrome Refractor Dodgers /374
High,2025 James Tibbs III #BP-39,RAW,1,1.0,$4.00,Apr-23-26,,947430398971138048,2025 Bowman Sapphire James Tibbs III #BCP-39 Chrome Prospects Giants
