TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2025 Bowman Draft Jake Munroe Chrome Auto 1st Prospect #CPA-JMU Angels,$5.51,$2.09,$3.42,04/30/2026 13:01:23 +00:00,$55.69
Sale,2025 Bowman Draft Yandel Ricardo Chrome Fuchsia Reptilian Refractor #/199 Royals,$1.55,$1.30,$0.25,04/30/2026 13:01:26 +00:00,$55.94
Sale,2025 Bowman Draft Walker Janek Chrome Aqua Wave Refractor #/125 Astros,$3.51,$1.69,$1.82,04/30/2026 13:01:26 +00:00,$57.76
Sale,2025 Bowman Jose Perdomo Chrome Fuchsia Refractor 1st Prospect #/199 Braves,$0.99,$0.99,$0.00,04/30/2026 13:01:31 +00:00,$57.76
Sale,2025 Bowman Draft Nolan Sailors Chrome Blue Refractor 1st Prospect #/150 Royals,$9.59,$2.91,$6.68,04/30/2026 14:15:38 +00:00,$64.44
Sale,2025 Bowman Draft Sapphire Liam Doyle Chrome 1st Prospect #BDC-12 Cardinals,$6.50,$2.29,$4.21,05/01/2026 02:00:47 +00:00,$68.65
Sale,2025 Bowman Draft Walker Janek Gold Border #/50 Astros,$3.85,$1.76,$2.09,05/01/2026 02:31:12 +00:00,$70.74
Sale,2025 Bowman's Best Kevin McGonigle Top Prospects Mini Diamond Refractor #/299,$26.00,$4.37,$21.63,05/01/2026 02:45:08 +00:00,$92.37
Sale,2025 Bowman's Best Cal Raleigh Yellow Refractor #/75 Mariners,$12.50,$3.24,$9.26,05/01/2026 02:45:09 +00:00,$101.63
Sale,2025 Topps Cosmic Chrome Jacob Wilson RC Nucleus Refractor Rookie #139 Athletics,$15.50,$3.78,$11.72,05/01/2026 13:46:38 +00:00,$113.35
Sale,2025 Bowman Mike Trout Mega Box Burgundy Refractor #/275 Angels,$4.76,$1.94,$2.82,05/01/2026 14:46:13 +00:00,$116.17
Sale,2025 Topps Chrome Update Nick Kurtz RC RayWave Refractor #USC178 Athletics,$10.00,$2.79,$7.21,05/01/2026 14:46:26 +00:00,$123.38
Sale,2026 Topps Jeff Bagwell 1991 Chrome Silver Pack Purple Refractor #/250,$2.26,$1.44,$0.82,05/01/2026 14:46:30 +00:00,$124.20
Sale,2024 Bowman Chrome Sapphire Christian Yelich Refractor Yellow #/75 Brewers,$3.51,$1.69,$1.82,05/01/2026 14:46:32 +00:00,$126.02
Sale,2023 Topps Chrome Christian Yelich Purple Refractor #/250 Brewers,$2.26,$1.44,$0.82,05/01/2026 14:46:40 +00:00,$126.84
Sale,2025 Bowman's Best Kevin McGonigle Top Prospects Blue X-Fractor #/150 Tigers,$36.15,$5.69,$30.46,05/02/2026 14:10:45 +00:00,$157.30
Sale,2025-26 Topps Draymond Green Purple Rainbow #/250 Warriors,$1.04,$1.04,$0.00,05/02/2026 15:12:06 +00:00,$157.30
Sale,2024-25 Topps Chrome Cam Spencer RC Magenta Speckle Refractor #/350 Grizzlies,$0.99,$0.99,$0.00,05/02/2026 15:12:09 +00:00,$157.30
