Item number,Title,Current price
FBrelist-080426-0662,JONAH ELLISS 2024 Panini Prizm #356 Silver Denver Broncos Football,3.49
FBrelist-080426-0663,2024 Topps SIGNATURE Class MarShawn Lloyd #110 Green Green Bay Packers #/150,2.39
FBrelist-080426-0664,JAWHAR JORDAN 2024 Panini Phoenix #197 Green Fade Houston Texans #/199 Football,5.49
FBrelist-080426-0665,GENO SMITH 2024 Panini Mosaic #197 Mosaic Reactive Blue Seattle Seahawks,3.49
FBrelist-080426-0666,MICHAEL PENIX JR. 2024 Panini Prizm #6 Portals Falcons Football,3.99
FBrelist-080426-0667,2024 Topps SIGNATURE Class Eddie George #AI-24 After Image Tennessee Titans,1.99
FBrelist-080426-0668,FOYE OLUOKUN 2023 Panini Prizm #LD-8 Lockdown! Prizms Silver Jaguars Football,3.49
FBrelist-080426-0669,COMPOSITE BRYCE YOUNG 2023 Topps #1 Carolina Panthers Football,4.49
FBrelist-080426-0670,J.C. LATHAM 2024 Panini Prizm #334 Orange Ice Tennessee Titans Football,3.49
FBrelist-080426-0671,LADD MCCONKEY 2024 Topps Chrome #Y-20 Youthquake Los Angeles Chargers Football,3.99
FBrelist-080426-0672,J.C. LATHAM 2024 Panini Select #11 Silver Prizm Tennessee Titans Football,3.49
FBrelist-080426-0673,BUDDA BAKER 2023 Panini Prizm #2 Silver Arizona Cardinals Football,3.49
FBrelist-080426-0674,AMARI COOPER 2023 Panini Phoenix #HR-5 Hot Routes Cleveland Browns Football,3.49
FBrelist-080426-0675,JABRILL PEPPERS 2024 Panini Select #262 Red & Yellow Prizm Shock Patriots,3.49
FBrelist-080426-0676,MAASON SMITH 2024 Donruss Optic #269 Green Velocity Jacksonville Jaguars,3.49
FBrelist-080426-0677,TOM BRADY 2020 Panini Absolute #42 Green Tampa Bay Buccaneers Football,4.49
FBrelist-080426-0678,JALEEL MCLAUGHLIN 2023 Panini Select #265 Silver Prizms Denver Broncos Football,3.49
FBrelist-080426-0679,JEFFERY SIMMONS 2024 Panini Prizm #282 Silver Tennessee Titans Football,3.49
FBrelist-080426-0680,J.C. LATHAM 2024 Panini Mosaic #307 Mosaic Choice Red and Green Tennessee Titans,3.49
FBrelist-080426-0681,JASON KELCE 2024 Donruss #10 Retro 1994 Philadelphia Eagles Football,3.49
FBrelist-080426-0682,BO JACKSON 1991 Pro Set Platinum #136 Los Angeles Raiders Football,3.49
FBrelist-080426-0683,PATRICK MAHOMES II 2024 Donruss #2 Retro 1994 Kansas City Chiefs Football,3.99
FBrelist-080426-0684,DESMOND RIDDER 2023 Panini Prizm #H-4 Emergent Prizms No Huddle Atlanta Falcons,3.49
FBrelist-080426-0685,JONAH ELLISS 2024 Panini Prizm #356 Lazer Denver Broncos Football,3.49
FBrelist-080426-0686,TREYLON BURKS 2022 Donruss #TR-12 The Rookies Tennessee Titans RC Football,3.49
FBrelist-080426-0687,JALEEL MCLAUGHLIN 2023 Panini Select #32 Black and Red Prizms Die Cuts Broncos,3.49
FBrelist-080426-0688,AMON-RA ST. BROWN 2023 Panini Prizm #96 Pink Detroit Lions Football,5.49
FBrelist-080426-0689,PLAYBOOK SAM DARNOLD 2020 Panini #39 New York Jets Football,3.49
FBrelist-080426-0690,BARRY SANDERS 2023 Panini Mosaic #190 Detroit Lions Football,3.49
FBrelist-080426-0691,EMMITT SMITH 1995 Topps #PF-1 Profiles Dallas Cowboys Football,3.49
FBrelist-080426-0692,COOPER KUPP 2020 Panini Prizm Draft Picks #19 Eastern Washington Eagles Football,3.49
FBrelist-080426-0693,TRAVIS KELCE 2021 Panini Mosaic #GG-21 Got Game? Kansas City Chiefs Football,3.49
FBrelist-080426-0694,MATTHEW STAFFORD 2022 Score #155 Los Angeles Rams Football,2.99
FBrelist-080426-0695,JOEY BOSA 2024 Panini Absolute #59 Retail Los Angeles Chargers Football,3.49
FBrelist-080426-0696,NICO COLLINS 2024 Panini Contenders #41 Season Ticket Retail Houston Texans,3.49
FBrelist-080426-0697,BRYCE YOUNG 2024 Donruss Optic #26 Carolina Panthers Football,3.49
FBrelist-080426-0698,DEEBO SAMUEL 2024 Donruss Optic #172 San Francisco 49ers Football,3.49
FBrelist-080426-0699,MARSHAWN LLOYD 2024 Panini Prizm #374 Green Bay Packers Football,3.49
FBrelist-080426-0700,ANTHONY RICHARDSON 2024 Panini Contenders #42 Game Ticket Red Indianapolis Colts,3.49
FBrelist-080426-0701,BIJAN ROBINSON 2024 Panini Absolute #5 Blue Atlanta Falcons Football,3.49
FBrelist-080426-0702,ZENITH TYREEK HILL 2024 Panini #60 Retail Miami Dolphins Football,3.49
FBrelist-080426-0703,JARED GOFF 2024 Panini Absolute #35 Retail Detroit Lions Football,3.49
FBrelist-080426-0704,ZENITH TREVOR LAWRENCE 2024 Panini #44 Retail Jacksonville Jaguars Football,3.49
FBrelist-080426-0705,STEFON DIGGS 2021 Panini Contenders #11 Buffalo Bills Football,3.49
FBrelist-080426-0706,NICK CHUBB 2021 Panini Contenders #24 Cleveland Browns Football,3.49
FBrelist-080426-0707,TREVOR LAWRENCE 2022 Score #C-TL Celebration Jacksonville Jaguars Football,3.49
FBrelist-080426-0708,2024 Topps SIGNATURE Class Jason Kelce #43 Philadelphia Eagles Football,1.99
FBrelist-080426-0709,2024 Topps SIGNATURE Class Rob Gronkowski #34 New England Patriots Football,1.99
FBrelist-080426-0710,2024 Topps SIGNATURE Class Jordan Love #17 Green Bay Packers Football,1.99
FBrelist-080426-0711,ANTHONY RICHARDSON 2024 Panini Contenders #42 Season Ticket Colts Football,3.49
FBrelist-080426-0712,STEFON DIGGS 2024 Donruss #182 Houston Texans Football,3.49
FBrelist-080426-0713,EDGERRIN COOPER 2024 Panini Prizm #331 Green Bay Packers Football,3.49
FBrelist-080426-0714,AMON-RA ST. BROWN 2024 Panini Contenders #33 Season Ticket Retail Detroit Lions,3.49
FBrelist-080426-0715,2024 Topps SIGNATURE Class Eli Manning #36 New York Giants Football,1.99
FBrelist-080426-0716,2024 Topps SIGNATURE Class J.J. Watt #19 Houston Texans Football,1.99
FBrelist-080426-0717,TYREEK HILL 2021 Panini Contenders #48 Kansas City Chiefs Football,3.49
FBrelist-080426-0718,NICK BOSA 2021 Panini Contenders #90 San Francisco 49ers Football,3.49
FBrelist-080426-0719,DAVANTE ADAMS 2021 Panini Contenders #35 Green Bay Packers Football,3.49
FBrelist-080426-0720,TYREEK HILL 2022 Score #113 Kansas City Chiefs Football,2.99
FBrelist-080426-0721,ZENITH LAMAR JACKSON 2024 Panini #7 Retail Baltimore Ravens Football,3.49
FBrelist-080426-0722,NICK CHUBB 2021 Panini Mosaic #53 Cleveland Browns Football,3.49
FBrelist-080426-0723,KYLER MURRAY 2024 Panini Illusions #1 Retail Arizona Cardinals Football,3.49
FBrelist-080426-0724,LAMAR JACKSON 2024 Panini Illusions #7 Retail Baltimore Ravens Football,3.49
FBrelist-080426-0725,COOPER KUPP 2024 Panini Absolute #63 Retail Los Angeles Rams Football,3.49
FBrelist-080426-0726,2024 Topps SIGNATURE Class Barry Sanders #15 Detroit Lions Football,1.99
FBrelist-080426-0727,ZENITH DAVANTE ADAMS 2024 Panini #52 Retail Las Vegas Raiders Football,3.49
FBrelist-080426-0728,JOSH ALLEN 2024 Donruss Optic #19 Buffalo Bills Football,3.49
FBrelist-080426-0729,DERRICK HENRY 2024 Panini Illusions #8 Retail Baltimore Ravens Football,3.49
